molecule,SMILES,precursor_scscore,scscore,anode_limit,element_friendliness,capacity(mAh/g),total_score
101,[Li]n1c(=O)n([Li])c2cc(F)ccc21,0.49698926448586295,0.7296946622558705,1.0,0.6785714285714287,0.8985779132140106,3.803833268527173
192,[Li]n1c(=O)n([Li])c2cc(F)c(F)cc21,0.6278950099869159,0.6560937158338267,1.0,1.0,0.49371262303439384,3.7777013488551363
33,[Li]n1c(=O)n([Li])c2cc(C)ccc21,0.5040843162207546,0.7798438943282208,1.0,0.2556390977443609,1.0,3.539567308293336
206,[Li]n1c(=O)n([Li])c2c(F)cccc21,0.3906723354443787,0.5286514612206492,1.0,0.6785714285714287,0.8985779132140106,3.496473138450467
244,[Li]n1c(=O)n([Li])c2c(F)c(F)ccc21,0.4009809717379264,0.5353995228782942,1.0,1.0,0.49371262303439384,3.4300931176506144
112,[Li]n1c(=O)n([Li])c2cc(O)ccc21,0.4464904562391226,0.6775250386264403,1.0,0.3193277310924371,0.9489118375373613,3.3922550634953614
204,[Li]n1c(=O)n([Li])c2c(F)cc(F)cc21,0.3505761836737751,0.5307193587164444,1.0,1.0,0.49371262303439384,3.3750081654246133
62,[Li]n1c(=O)n([Li])c2c(O)cccc21,0.47845197739318623,0.5091765772672772,1.0,0.3193277310924371,0.9489118375373613,3.255868123290262
27,[Li]n1c(=O)n([Li])c2cc(OC)ccc21,0.5143506089175005,0.8707856333677514,1.0,0.22857142857142884,0.6185456445357004,3.232253315392381
31,[Li]n1c(=S)n([Li])c2ccccc21,0.8545365290958984,1.0,0.0,0.3571428571428573,0.9471467811260046,3.1588261673647606
256,[Li]n1c(=O)n([Li])c2cc(F)c(C)cc21,0.48250505326994253,0.4734557137728174,1.0,0.5263157894736841,0.5758725750932341,3.058149131609678
150,[Li]n1ccc2ccc3ccn([Li])c3c21,0.48302378173038985,0.5427106603799413,1.0,0.22857142857142884,0.799633843769157,3.053939714450917
41,[Li]n1c(=O)n([Li])c2cc(C)c(C)cc21,0.5652419988938014,0.6446090852990257,1.0,0.18181818181818202,0.6617738075299846,3.0534430735409943
193,[Li]n1c(=S)n([Li])c2cc(O)ccc21,0.5299099645269394,0.6163621054888595,1.0,0.3193277310924371,0.5748132088788918,3.040413009987128
1,[Li]n1c(=S)c(=S)n([Li])c2ccccc21,0.7711083514466663,0.9170818567857969,1.0,0.2857142857142859,0.06107052783983476,3.0349750217865843
91,[Li]n1c(=O)n([Li])c2cc(O)c(O)cc21,0.4243357346027698,0.6393850874409086,1.0,0.2857142857142859,0.5762752903011458,2.92571039805911
14,[Li]n1c(=S)n([Li])c2cc(OC)ccc21,0.586946038182345,0.8069316168719726,1.0,0.22857142857142884,0.29939712183014566,2.921846205455892
16,[Li]n1c(=S)n([Li])c2cc(C)c(C)cc21,0.7157696577847728,0.5821718135807474,1.0,0.18181818181818202,0.33566173954515516,2.8154213927288576
507,[Li]n1c(=O)n([Li])c2cc(OC)c(F)cc21,0.5618961309998541,0.48307601871284606,1.0,0.4857142857142858,0.26476137253011034,2.7954478079570966
24,[Li]n1c(=O)n([Li])c2cc(Cl)ccc21,0.5347556340155054,0.6965168543939538,1.0,0.035714285714286004,0.5251076775319049,2.7920944516556503
283,[Li]n1c(=O)n([Li])c2c(F)cc(C)cc21,0.2544985393160703,0.41727419234460994,1.0,0.5263157894736841,0.5758725750932341,2.7739610962275982
97,[Li]n1c(=O)n([Li])c2c(C)c(C)ccc21,0.3973128907254908,0.3995275396068618,1.0,0.18181818181818202,0.6617738075299846,2.6404324196805193
4,[Li]N1B(c2ccccc2)N([Li])c2ccccc21,0.8397255405561318,0.6110354961718653,1.0,0.10989010989011004,0.06483628671861452,2.6254874333367217
284,[Li]n1c(=O)n([Li])c2c(C)cc(F)cc21,0.11128902602613559,0.41179076813806875,1.0,0.5263157894736841,0.5758725750932349,2.625268158731123
30,[Li]n1c(=O)c(=O)n([Li])c2ccccc21,0.6993808725840877,0.9772034261644126,0.0,0.2857142857142859,0.6627495046994248,2.625048089162211
233,[Li]n1c(=O)n([Li])c2cc(CF)ccc21,0.14706723676552402,0.36843108379389905,1.0,0.5263157894736841,0.5758725750932349,2.617686685126342
226,[Li]n1c(=O)n([Li])c2c(C)c(F)ccc21,0.21949222771245713,0.27094651612773046,1.0,0.5263157894736841,0.5758725750932349,2.5926271084071066
578,[Li]n1c(=S)n([Li])c2c(F)cc(C)cc21,0.2726980444957564,0.4950035388368319,1.0,0.5263157894736841,0.2635307008247797,2.557548073631052
49,[Li]n1c(=S)n([Li])c2cc(F)c(F)cc21,0.6264031042526677,0.6839564862075856,0.0,1.0,0.19428633132712242,2.5046459217873758
77,[Li]n1c(=O)n([Li])c2cc(Cl)c(F)cc21,0.5263904009040327,0.4114555372689287,1.0,0.3571428571428573,0.18767261976540603,2.4826614150812247
151,[2H]c1c([2H])c([2H])c2c(c1[2H])n([Li])c(=S)n2[Li],0.5203415190527446,0.7448195156859179,0.0,0.3571428571428573,0.8467374148920754,2.4690413067735952
205,[Li]n1c(=O)n([Li])c2c(CF)cccc21,0.17525226859446633,0.17167807318328887,1.0,0.5263157894736841,0.5758725750932341,2.4491187063446733
