Molecule,Cluster,data,Cluster_center,Distance_to_center
339,2,[-0.3814540139633945  0.1508698560043382 -0.073645256432399  -0.0880702964308565 -0.1852732886017745 -0.1458408901999558],[-0.3131634177773258  0.2059485104194073 -0.0513225718578879 -0.1428040027980441 -0.1984517697672429  0.0684714651178523],0.2393633275308083
340,7,[-1.118059198846585  -0.2775212165372777 -0.1566898477724909  0.345542884290566   0.1114895053748092 -0.4776770970905121],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557333  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.7392249653374448
341,3,[-0.0432348739055492  0.5197281753518925 -0.0575895401386745 -0.4027183676488287 -0.0414453831593498  0.1641749829211194],[-0.1805278618656835  0.3700275025803318  0.2205971826750172 -0.2147626700768268  0.0611885440545909 -0.1351215955271372],0.5040704492995686
342,7,[-6.189782510311927e-01 -4.011746833546087e-01 -2.524685933068183e-01  1.142440587356815e-01  1.483499938544478e-01  2.167090788552000e-04],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557333  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.10364744425966411
343,5,[-0.3472682341378376  0.7536457360571074  0.2019792682843273  0.57688958533859    0.4715650116862142  0.4898851608961362],[-0.1723757427428502  0.762894166472294  -0.2151388624847023  0.2893620945322307  0.0879378683088307  0.0428423571746734],0.7964606477988592
344,6,[ 0.1398502407488249  0.0389438138943035 -0.1954825314616759 -0.0058132786633237 -0.3442383306442941 -0.1933268128542655],[ 0.0589208866864511 -0.1397863819120101  0.2121108171414704  0.0395683673362916 -0.1371684035781138 -0.0072239614691663],0.5331023361887792
345,1,[ 0.6059090882281757  0.1501543230461194  0.0393840184114641 -0.3073489708655771 -0.1569867069485792  0.1765563509301088],[ 0.4045635053699478  0.1633122351693821  0.0620768454071855 -0.171515005959498  -0.0463642443932943  0.0173034384598071],0.31189393094319046
346,4,[ 0.0905978097111575 -0.3772992200137628 -0.0296000392144296 -0.0179971821429498  0.2205530789356749  0.1759343215020519],[ 0.2318913624834497 -0.502880669440364  -0.2459859001618044  0.0327194305053757  0.0956359846867003  0.0455251660129424],0.34313322832764154
347,1,[ 0.2570361941004773  0.2156216375065214  0.3561282554059328 -0.1232079663805574  0.0932924866141546 -0.1110305446574084],[ 0.4045635053699478  0.1633122351693821  0.0620768454071855 -0.171515005959498  -0.0463642443932943  0.0173034384598071],0.38635993151052467
348,7,[-0.327699205539086  -0.5153300021728088 -0.1435180062789866  0.3915632623937713  0.1922091596561007 -0.269530620904338 ],[-0.6045306406434975 -0.4361136403049469 -0.2273370402557333  0.1603867833461044  0.0683952005116491 -0.0124250301664179],0.47414370357407276
349,8,[-0.0026041282072709 -0.157630275876669  -0.493381560495762  -0.0582486119925611  0.1431996261201265 -0.0498171435341975],[-0.2072538130265835  0.0132884858134406 -0.6015257863188352 -0.1686197451880603  0.0739059383068204 -0.0065723278441814],0.3188156308446723
350,1,[ 0.6259722341802403  0.1775283211481352  0.2560246805069628 -0.1287959858757373  0.0679825382098291 -0.0629944805297481],[ 0.4045635053699478  0.1633122351693821  0.0620768454071855 -0.171515005959498  -0.0463642443932943  0.0173034384598071],0.3289187471040396
351,1,[ 0.636383010912578   0.2004080060597023  0.2467903920115659 -0.1388891854388348  0.0721093918433338 -0.0648678642582708],[ 0.4045635053699478  0.1633122351693821  0.0620768454071855 -0.171515005959498  -0.0463642443932943  0.0173034384598071],0.3332987298285228
352,6,[ 0.3488890817476867 -0.2876339306889521  0.0707330378972255  0.1161032772110775 -0.1113136595284682  0.0622289334059038],[ 0.0589208866864511 -0.1397863819120101  0.2121108171414704  0.0395683673362916 -0.1371684035781138 -0.0072239614691663],0.37051031445345395
353,9,[ 1.168136632196742  -0.346234820044241  -0.2098278422412649 -0.1583096732012243  0.1089471289566701  0.0970499667626907],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.3950452902271861
354,9,[ 1.153068937093312  -0.5836361990699017  0.0792707257811748  0.0579336673612322  0.2445311239874547  0.0426021914470897],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.44342322293146014
355,9,[ 1.134589524266926  -0.5738542607130254  0.0817900848451215  0.0601010242599029  0.2499053806685728  0.055332905887411 ],[ 1.0249375702805263 -0.2630914415323961  0.0443537806600736  0.0235291378518894 -0.0220821830208652 -0.0204219761996998],0.4370950668977542
356,0,[-0.6515568719478795 -0.0367356570222116  0.4936344954061602 -0.2356349608412589  0.047730992610776  -0.6199786120085744],[-0.4800995273776051 -0.0347354484496296  0.3389326096056138  0.0402329713155894 -0.0395605428413141  0.0068416061402701],0.7279840721787207
357,0,[-0.4264701547983323 -0.1866566959326178  0.438448439595953   0.0832703779373922 -0.0735771340388523  0.2160352595417213],[-0.4800995273776051 -0.0347354484496296  0.3389326096056138  0.0402329713155894 -0.0395605428413141  0.0068416061402701],0.28745592171249007
358,0,[-0.6074993148570493 -0.0165210126506462 -0.0346696132236119  0.2371397302183822 -0.078364488558505  -0.168594029041552 ],[-0.4800995273776051 -0.0347354484496296  0.3389326096056138  0.0402329713155894 -0.0395605428413141  0.0068416061402701],0.4766516258450147
359,5,[-0.39302404744851    0.8495863682939129 -0.4439617056291646  0.5364832634548669  0.0686910140508955 -0.0313691253572217],[-0.1723757427428502  0.762894166472294  -0.2151388624847023  0.2893620945322307  0.0879378683088307  0.0428423571746734],0.4189364670674722
