Molecule,Cluster,data,Cluster_center,Distance_to_center
0,7,[-0.6036922614453484 -0.5447415052210424 -0.3620322099212166  0.1039514290673548 -0.0522301023315507  0.0622649513570348],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],0.24045807782287928
1,4,[-0.0785377302331723 -0.2853653711080347 -0.2690604507750231 -0.1049905842959335  0.1103492098911259  0.2669404837005111],[ 0.2347504091810151 -0.4930324434958973 -0.2359889961372989  0.0081206371231433  0.1187806145962538  0.0372192692022909],0.4560766007485568
2,7,[-0.8597519710584571 -0.781573860292818   0.1197294522830037  0.5069744307901995  0.2428756467795799  0.2126864502409292],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],0.722971861179412
3,7,[-7.733816109266710e-01 -7.232147897285648e-01 -2.551845209906479e-01  3.458247284667217e-01  3.161252233327000e-04  4.780071267189580e-02],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],0.42139966920838295
4,7,[-1.0333822148099872 -0.7041944500618167  0.5167150156031697 -0.2443260953133742  0.6968480655345027  0.1038929359566598],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],1.1451436775052761
5,5,[-0.0417658924544052  1.072629469567724  -0.4277959319483939  0.0470193333426174  0.0262749146289936  0.1062298685240634],[ 0.0606519362104386  0.7225094493387562 -0.1259591929328023  0.419044614714216   0.1148785779811244  0.0443292693090051],0.6117711668061341
6,7,[-0.7204642339407358 -0.4795251182678925 -0.4468710446730438  0.1625869922403476  0.0308504400319274 -0.069364199973116 ],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],0.2934340031043137
7,3,[-0.1614338095983088  0.4807443538381871  0.1814084339459617 -0.0794188015298214  0.084023945869813  -0.2469443766100574],[-0.0467544624873694  0.3416667034970997  0.1074881567328738 -0.2222324598907815 -0.0276130599442303 -0.0268972550689632],0.34530776220863574
8,7,[-0.4760780284989061 -0.3006249401703776 -0.3350947592046128 -0.0699976381251693  0.0912643155542383 -0.0144144131104799],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],0.28886809160773835
9,2,[-0.3175209527504151 -0.0424284337046208 -0.4815551723294241 -0.2358168819951706  0.1114749623197494  0.019673632314142 ],[-0.1876035998557638  0.1868252820906622 -0.5502295925238111 -0.1867232758940011  0.0536150808722418 -0.0110722549924091],0.2843505203187371
10,7,[-0.1937789266807978 -0.8653068185802053  0.0751821724316688  0.3109633530438322  0.061571461004025   0.2430853091522613],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],0.7057386271278627
11,7,[-0.5852932664239411 -0.971447141476266  -0.0456543049420606 -0.4150295661371053  0.859713129612586  -0.0532315165058478],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],1.077981878797178
12,6,[-0.0999568586394062 -0.2934950603651212  0.16283635921914    0.1363267944974968 -0.2496018700597909  0.0833348247971851],[ 0.0756612542796269 -0.1326912798521235  0.192764102921883   0.036069476343783  -0.1457151931214906 -0.0027956434888014],0.2930148056182021
13,0,[-0.2676126559944671 -0.5367543948750024  0.3094294716443443 -0.5852901121568951  0.6653125984662878  0.0925346125568195],[-0.4630875963101383 -0.0101639857324018  0.2665651709613873 -0.0385510227220721 -0.0435718773920935  0.0013700502182412],1.0616482793377673
14,7,[-3.190062471694989e-01 -8.114278648367907e-01 -1.606976591163000e-04  3.797343988986942e-01  1.452612812753133e-01  1.049911368850117e-01],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],0.5669755397294112
15,7,[-0.2005702059202307 -0.4291369904305536 -0.4782859716279364 -0.009261229980741  -0.0442259746869416 -0.0389684750694965],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],0.4960172226458868
16,4,[-0.0691710661295062 -0.642416451971485   0.1186372392231831  0.1525610841141209  0.2024264054826086  0.1418408692698046],[ 0.2347504091810151 -0.4930324434958973 -0.2359889961372989  0.0081206371231433  0.1187806145962538  0.0372192692022909],0.5284401122263054
17,7,[-0.4540315459042382 -0.6764920761454587 -0.4411658693355429  0.291521563408294  -0.0398590538341697 -0.1442401355182028],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],0.42548784872674755
18,3,[ 0.2335716093217613  0.2797334182973884 -0.0267683883877448 -0.26879482133479   -0.0836387194710315  0.1114547242548353],[-0.0467544624873694  0.3416667034970997  0.1074881567328738 -0.2222324598907815 -0.0276130599442303 -0.0268972550689632],0.35339985352396464
19,3,[ 0.1868717963001021  0.2224681228490509  0.1683646858848495 -0.0824362145608556 -0.0331761630757228 -0.2614269615372891],[-0.0467544624873694  0.3416667034970997  0.1074881567328738 -0.2222324598907815 -0.0276130599442303 -0.0268972550689632],0.3835017650103411
20,3,[ 0.2425554899784263  0.2865619331225782 -0.0333706557026683 -0.2760377314401901 -0.0842135976969124  0.1133271682343514],[-0.0467544624873694  0.3416667034970997  0.1074881567328738 -0.2222324598907815 -0.0276130599442303 -0.0268972550689632],0.36378497270459986
21,6,[ 0.1110885466139619 -0.0041955186614914  0.1199984943819569 -0.1053366470657566 -0.118957540869877   0.0456155051076016],[ 0.0756612542796269 -0.1326912798521235  0.192764102921883   0.036069476343783  -0.1457151931214906 -0.0027956434888014],0.21474727116413705
22,4,[-0.0955874704411422 -0.3956976621335618 -0.3871620847457732 -0.0270303349857397  0.0615144331077153 -0.0674717965266715],[ 0.2347504091810151 -0.4930324434958973 -0.2359889961372989  0.0081206371231433  0.1187806145962538  0.0372192692022909],0.39613848932095175
23,6,[ 0.4023444911655828 -0.2180346531083837 -0.1403048217199332  0.1573358769778333 -0.3804198146440317 -0.2855966978370028],[ 0.0756612542796269 -0.1326912798521235  0.192764102921883   0.036069476343783  -0.1457151931214906 -0.0027956434888014],0.6121344401439363
24,4,[ 0.1156698911734462 -0.8283534880950012 -0.1041454455942512  0.2640910640200892  0.0214380230599818  0.0511233806446731],[ 0.2347504091810151 -0.4930324434958973 -0.2359889961372989  0.0081206371231433  0.1187806145962538  0.0372192692022909],0.468180369545314
25,4,[ 0.3025410948357779 -0.7530909388397148  0.0732053605268634  0.2031942882633657  0.1699335400350221  0.0892941253090559],[ 0.2347504091810151 -0.4930324434958973 -0.2359889961372989  0.0081206371231433  0.1187806145962538  0.0372192692022909],0.4595751190432964
26,4,[ 0.5053017855508501 -0.4473141064852539 -0.1018453552001215  0.0025776469133597  0.1894820096485117  0.1168224043390357],[ 0.2347504091810151 -0.4930324434958973 -0.2359889961372989  0.0081206371231433  0.1187806145962538  0.0372192692022909],0.32349466939180516
27,4,[ 0.0079351678015537 -0.7477625653671066 -0.1932322032702108  0.3164352106199675  0.1068918124400311 -0.0879698291669783],[ 0.2347504091810151 -0.4930324434958973 -0.2359889961372989  0.0081206371231433  0.1187806145962538  0.0372192692022909],0.4785731524485808
28,1,[ 0.5479378674212041 -0.0385692858078392  0.3059706524406571 -0.0633819398199646  0.0181380824784112  0.0131866900487956],[ 8.6984564617321114e-01 -7.4242676682146083e-02  6.1511065276654994e-02 -5.5463016249572984e-04 -1.0486762004405775e-02 -9.0479487101905193e-03],0.41221199681125253
29,1,[ 0.5262767705202152  0.0375687972621113  0.0167341874021954 -0.1226962354875161 -0.1228921583924162  0.0090030996958909],[ 8.6984564617321114e-01 -7.4242676682146083e-02  6.1511065276654994e-02 -5.5463016249572984e-04 -1.0486762004405775e-02 -9.0479487101905193e-03],0.4005318115360038
30,4,[ 0.3661257021007131 -0.3795634148175115 -0.5164794380365932 -0.0677667442641086  0.0357242362155323 -0.0898780761066661],[ 0.2347504091810151 -0.4930324434958973 -0.2359889961372989  0.0081206371231433  0.1187806145962538  0.0372192692022909],0.3709724624334457
31,4,[ 0.740072766884852  -0.7669374396120434 -0.0387454315563584  0.1804771462708946  0.1392756831149903  0.0672522280019344],[ 0.2347504091810151 -0.4930324434958973 -0.2359889961372989  0.0081206371231433  0.1187806145962538  0.0372192692022909],0.6326993350358397
32,1,[ 8.097179580226203e-01 -2.072412626652981e-01  3.405425055248980e-02  7.486321206060000e-04 -1.709659187334273e-01 -2.264918770030010e-02],[ 8.6984564617321114e-01 -7.4242676682146083e-02  6.1511065276654994e-02 -5.5463016249572984e-04 -1.0486762004405775e-02 -9.0479487101905193e-03],0.21908466712609584
33,4,[ 0.6095612328802211 -0.6672542042210324 -0.1256162754485092  0.1345326249639158  0.1398365187889079 -0.0766164002153691],[ 0.2347504091810151 -0.4930324434958973 -0.2359889961372989  0.0081206371231433  0.1187806145962538  0.0372192692022909],0.46086919440062574
34,1,[ 1.3025285765798291 -0.0892596069481785  0.1445750997857886 -0.0405228427492077 -0.0111401976332841 -0.0156389248322954],[ 8.6984564617321114e-01 -7.4242676682146083e-02  6.1511065276654994e-02 -5.5463016249572984e-04 -1.0486762004405775e-02 -9.0479487101905193e-03],0.44269739806164154
35,1,[ 1.0510340128002862 -0.6500257533809876 -0.2527564191002942  0.0958962489768767  0.1155712174658603 -0.0820474602883877],[ 8.6984564617321114e-01 -7.4242676682146083e-02  6.1511065276654994e-02 -5.5463016249572984e-04 -1.0486762004405775e-02 -9.0479487101905193e-03],0.7025964291938342
36,7,[-0.6915915148504407 -0.3565174244127715 -0.5117345050833766 -0.0308258581519618 -0.1144623987995879  0.032124824811654 ],[-0.5737308601642579 -0.4568000069520185 -0.2137609358317939  0.1164600680409924  0.0951908342875863 -0.0106385820484834],0.4245142040274168
