PCA feature 0,PCA feature 1,PCA feature 2,PCA feature 3,PCA feature 4,PCA feature 5
-0.48009952737760525,-0.03473544844962965,0.33893260960561394,0.040232971315589436,-0.039560542841314085,0.006841606140270063
0.40456350536994784,0.1633122351693822,0.06207684540718553,-0.1715150059594981,-0.04636424439329426,0.01730343845980707
-0.3131634177773258,0.20594851041940734,-0.051322571857887946,-0.1428040027980442,-0.1984517697672429,0.06847146511785236
-0.18052786186568345,0.37002750258033174,0.22059718267501724,-0.21476267007682684,0.06118854405459095,-0.1351215955271372
0.23189136248344966,-0.5028806694403641,-0.2459859001618044,0.032719430505375756,0.09563598468670034,0.04552516601294245
-0.1723757427428502,0.762894166472294,-0.21513886248470235,0.28936209453223083,0.0879378683088307,0.04284235717467344
0.05892088668645107,-0.13978638191201007,0.21211081714147034,0.039568367336291564,-0.1371684035781138,-0.007223961469166281
-0.6045306406434977,-0.43611364030494687,-0.2273370402557333,0.1603867833461044,0.0683952005116491,-0.01242503016641794
-0.20725381302658355,0.013288485813440614,-0.6015257863188354,-0.1686197451880603,0.07390593830682037,-0.006572327844181392
1.0249375702805263,-0.26309144153239616,0.044353780660073554,0.023529137851889405,-0.02208218302086517,-0.02042197619969985
0.6985313220607818,0.5837756918733803,-0.07158800764184915,0.42278033326206704,0.11741691864652105,0.0030208012292998114
-0.39254838102680056,-0.5577221881150141,0.21011259518115152,-0.4750153614177411,0.6394530459503552,-0.02076186744425236
