molecule,SMILES,precursor_scscore,scscore,anode_limit,element_friendliness,capacity(mAh/g)
468,[Li]N1CC(C)(C)N([Li])c2cc(F)c(F)cc21,2.4749109255986386,2.3985399147227975,0.5499458667127237,0.15384615384615385,255.1913591412453
145,[Li]N(C)c1ccccc1N([Li])C(C)=O,3.133937932106294,2.844736853850179,1.7851812343885975,0.08333333333333333,304.48056562076795
13,[Li]N1c2ccccc2N([Li])c2ccccc21,3.235487753093145,3.4550447179721853,0.1955475853760799,0.08333333333333333,276.2149450317947
554,[Li]N1CCN([Li])c2c(C)cc(F)cc21,2.0910809784936917,2.452024065598045,0.529482831008312,0.13043478260869565,301.07607396799534
490,[Li]N1CC(C)C(=O)N([Li])c2cccc(F)c21,2.020971292572243,1.7855506531921672,1.9004708483167048,0.12,260.15339614757295
518,[Li]N1CC(C)C(C)N([Li])c2cccc(F)c21,1.8422422989929519,1.7553931741388435,1.0249644916306018,0.10344827586206896,260.0978614834687
226,[Li]n1c(=O)n([Li])c2c(C)c(F)ccc21,2.2415931714924553,1.9575952834945496,2.409230352387133,0.15789473684210525,301.1504884879374
264,[Li]N(C)c1cccc(F)c1N([Li])C(=O)C=C,2.1989292607457203,2.050909450218025,1.0476656718634678,0.12,260.15339614757295
180,[Li]N1C(=O)[C@H](C)N([Li])c2cc(C)ccc21,2.155844614549979,1.8872612292438453,1.518410733272944,0.08,285.0366116974298
342,[Li]n1c(=O)n([Li])c2cc(C(C)=O)c(C)cc21,2.536622658824241,2.3696797319510745,2.487462007306977,0.08333333333333333,265.31222712706165
56,[Li]n1c(=O)c(=O)n([Li])c2c(Cl)cccc21,2.832999021140677,2.64192779945122,2.887304826913081,0.05555555555555555,257.1782034410177
102,[Li]N1CC(C)N([Li])c2ccccc21,2.4228928437140747,2.9052692222412437,0.524543946728196,0.08695652173913043,334.9124542315232
104,[Li]N1CN([Li])c2ccccc21,3.3300403704689465,3.1912830571221544,0.2987022381718907,0.11764705882352941,406.080177480182
111,[Li]N1c2ccccc2N([Li])C1S,3.0230181183093237,3.0512339262581696,2.4916757055487158,0.1111111111111111,326.7217048846418
153,[Li]N1C[C@@H](C)N([Li])c2ccccc21,2.2327912360790307,2.411734913304679,0.5182839449136969,0.08695652173913043,334.9124542315232
154,[Li]N1C[C@H](C)N([Li])c2ccccc21,2.0957007026653653,2.488405125495137,0.5275317676327267,0.08695652173913043,334.9124542315232
155,[Li]N1c2ccccc2N([Li])C1C=O,3.130717363681702,3.197181328626439,0.893335742343691,0.10526315789473684,335.0045373153395
156,[Li]N1C=CCN([Li])c2ccccc21,2.953990896654364,2.242566019884733,0.5257371702854152,0.09523809523809523,339.18417243631234
157,[Li]N1SN([Li])c2ccccc21,3.106849453079441,3.0725047972322015,-0.2034938560411749,0.13333333333333333,357.2621208116106
159,[Li]N1C=CN([Li])c2ccccc21,3.450358774330864,3.2127451796792155,-0.2734749891169579,0.1111111111111111,372.21666790096015
160,[Li]N1B(C)N([Li])c2ccccc21,3.1165267243625516,3.2324352471224795,1.5871469409748684,0.10526315789473684,372.7109176876627
179,[Li]N1CN([Li])c2c(C)cccc21,2.449237944557155,2.0908204093927836,0.361675053636227,0.1,367.078707761223
195,[Li]N1c2ccccc2N([Li])C1CF,2.8866045387670054,2.7991489508454,0.7318954521436232,0.15000000000000002,326.8212920854381
196,[Li]N1c2ccccc2N([Li])C1F,2.8532318965797705,2.9430542583777797,2.982893326682477,0.1764705882352941,357.38119945278083
212,[Li]N(C)c1cccc2ccn([Li])c12,2.220327472609279,2.2786547471857013,1.8582576737318413,0.09523809523809523,339.18417243631234
227,[Li]N1SN([Li])c2cc(F)ccc21,3.3181258079626836,3.0800998218132998,-0.1795382264083911,0.2,319.01691219398344
247,[Li]N1CCN([Li])c2cc(F)ccc21,2.8008277295391117,2.9033764916671805,0.4969134062281264,0.15000000000000002,326.8212920854381
248,[Li]N1CCN([Li])c2c(F)cccc21,2.678981131275431,2.376102982177493,0.9056013185982628,0.15000000000000002,326.8212920854381
258,[Li]n1c2cc(C)c(F)cc2n1[Li],3.0334514890998765,2.8953951151816506,0.5582698595636939,0.1764705882352941,357.38119945278083
262,[Li]N1CN([Li])c2c(F)cccc21,2.628730663814185,2.393348064463968,0.6595156267822335,0.1764705882352941,357.3811994527808
291,[Li]N1C=CN([Li])c2cc(F)ccc21,2.836856784931607,2.948534119935984,-0.2642543778830568,0.16666666666666666,330.8878492495532
307,[Li]N1CN([Li])c2cc(F)c(C)cc21,2.5206947386535776,2.6295819479011873,0.2603422096705357,0.15000000000000002,326.821292085438
313,[Li]n1c2ccc(F)c(F)c2n1[Li],2.6366692577863553,2.472119859057303,0.7144107133238693,0.2857142857142857,348.1828822470749
32,[Li]N1CC(=O)N([Li])c2ccccc21,3.088449812941074,2.7334330416750947,1.5091180116089444,0.10526315789473684,335.0045373153395
331,[Li]N1c2cccc(F)c2N([Li])C1C,2.5500868896059914,2.351239759890543,0.7079969666269794,0.15000000000000002,326.8212920854381
34,[Li]N1CCN([Li])c2ccccc21,3.034536469446386,3.1702674547677954,0.4813361924142489,0.1,367.078707761223
35,[Li]n1c(=O)n([Li])c2ccccc21,3.056754176353851,3.297681839732709,2.443699138726264,0.125,367.18933119031743
380,[Li]N1B(C=C)N([Li])c2ccccc21,3.0481105722314448,3.0420969680087877,1.611404618076801,0.1,343.9873156014109
382,[Li]N1PN([Li])c2ccccc21,3.2766697218401166,3.2103198962238753,0.6204549025763315,0.125,357.46460174368633
