NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex
15.0,15.0,7.0,0.0,2.0,2.0,1.0,4.0,208.459,205.435,44.0,0.4850905954251375,0.9754851812541466,0.22006512934484812,0.7799348706621189,378.170697221405,1340.2782835411756,1718.4489807506081,2.871163976268201,2.3751721645741117e-11
14.0,14.0,6.0,0.0,2.0,2.0,1.0,4.0,206.15000000000003,202.118,9.86,0.3554976033468874,0.9499261960252909,0.3124743543155507,0.6875256457568963,447.23533086244316,984.0351869196518,1431.2705176784036,2.6349306735248406,7.354834294262342e-11
15.0,15.0,6.0,2.0,2.0,2.0,1.0,4.0,206.125,198.06099999999998,19.09,0.6671685053397632,0.9918987059495274,0.1270313234428922,0.8762266936253889,269.24258789872863,1857.160393071906,2119.497621543465,3.209257607387403,0.038334239583385166
15.0,15.0,7.0,1.0,2.0,2.0,1.0,4.0,206.08100000000002,202.04899999999998,47.16,0.5910688907462246,0.9866579468211194,0.1628069285218938,0.837554412565752,307.84953581831957,1583.7209108473442,1890.8871914312963,3.029375174144447,0.0046953092108830445
17.0,17.0,5.0,1.0,3.0,2.0,2.0,2.0,205.91199999999998,196.83999999999997,6.48,0.5899503903074705,0.9866853406332191,0.16264082691473367,0.8644271012771769,344.3240291715292,1830.0633861930985,2117.0823814862,3.2281016655298944,0.05515478351002677
16.0,16.0,6.0,2.0,1.0,1.0,1.0,2.0,204.08399999999997,194.004,40.620000000000005,0.141751639836357,0.8278724040070344,0.5609164667609728,0.6237848655423383,763.8136406840673,849.4230734655005,1361.7244027345635,2.69973520719198,0.17200923867631254
16.0,16.0,7.0,1.0,2.0,2.0,1.0,5.0,204.04,197.992,53.230000000000004,0.4851033087512684,0.9755226773841136,0.21989885381540913,0.7819636884665996,375.9910496392834,1337.029924917962,1709.8363320934068,2.8961546047196736,0.021363572065613796
16.0,16.0,5.0,1.0,2.0,1.0,1.0,2.0,202.11199999999997,190.01599999999996,23.55,0.23302299516676833,0.9145923615837049,0.40437706677399676,0.7378676613795278,545.1948393546564,994.8181392186609,1348.2338246925403,2.6730439718656096,0.30914597620633755
16.0,16.0,6.0,0.0,2.0,2.0,1.0,4.0,202.06799999999998,194.004,44.0,0.4034750744722682,0.9619782264880516,0.27312614624547177,0.7311669597382461,432.0696700658663,1156.6635834755941,1581.9418096923766,2.8009934881998726,0.044014997248841496
16.0,16.0,6.0,0.0,2.0,2.0,1.0,4.0,202.068,194.004,44.0,0.31492904502723257,0.9364019929273573,0.35092920602547967,0.6538525316509232,520.948104846846,970.6323422625858,1484.482043392598,2.7136713763227096,0.04699856519221577
13.0,13.0,6.0,0.0,2.0,2.0,1.0,3.0,196.51700000000002,193.493,9.86,0.5894356655241575,0.9865218900485712,0.16362933861320508,0.8363706614018848,267.8179200020246,1368.9174128904883,1636.7353328678148,2.885952415867728,6.643472767826316e-11
16.0,16.0,5.0,0.0,3.0,3.0,2.0,3.0,196.064,190.01599999999996,26.93,0.5418632756509203,0.9821517692797476,0.18809014355000528,0.8119098564598778,306.63466958095773,1323.619121482086,1630.2537910469318,2.8835579258071045,3.095232402129956e-11
14.0,14.0,6.0,0.0,2.0,1.0,1.0,2.0,194.476,189.43599999999998,23.550000000000004,0.43345944757286403,0.9680354620667977,0.25081336523622794,0.7656731797920051,377.85733674032275,1153.508020823414,1506.5279172201958,2.794719670730594,0.07319703052928062
16.0,16.0,4.0,0.0,3.0,2.0,2.0,2.0,194.092,186.02799999999996,6.48,0.4252620459989617,0.9660657457179106,0.2582962929476485,0.7417037071002415,381.7707256258181,1096.2633618454968,1478.034087400532,2.759550890075083,9.887639119268312e-11
14.0,14.0,6.0,1.0,2.0,2.0,1.0,4.0,192.098,186.04999999999998,19.09,0.5972882484981729,0.9871676879618116,0.15968705596926555,0.8423287805063371,260.6452603056734,1374.8703858645283,1632.22534677976,2.916402042033882,0.02543746392930878
15.0,15.0,7.0,0.0,2.0,2.0,1.0,4.0,192.004,188.98,44.0,0.3990274325081317,0.9608355213264989,0.277119290121123,0.7228807098797648,375.931904570731,980.6387780647246,1356.5706826342512,2.658067928235979,2.1210273261818218e-12
14.0,14.0,5.0,0.0,2.0,2.0,1.0,3.0,190.126,182.06199999999998,9.86,0.5055963042580676,0.9781748562822036,0.2077834221907277,0.7968216392314343,308.8014883363567,1184.2124147297002,1486.1699989371766,2.7990644781084186,0.05223031084858463
15.0,15.0,7.0,1.0,2.0,2.0,1.0,4.0,190.013,185.98099999999997,64.23,0.5272578207067252,0.9806098195853911,0.19597035932177856,0.8044149479868166,305.3320064274665,1253.3203027186842,1558.051980330958,2.863789840807452,0.004170498266346239
15.0,15.0,5.0,0.0,2.0,1.0,1.0,2.0,188.08500000000004,178.005,23.550000000000004,0.25887355883524615,0.90815825828428,0.4186270152654543,0.6036248066280937,536.5463947490297,773.654594584666,1281.68124651201,2.6249168699036227,0.08602935805946985
15.0,15.0,5.0,0.0,2.0,1.0,1.0,2.0,188.08500000000004,178.005,23.550000000000004,0.2609994187159065,0.9245120880947388,0.3811527239397691,0.7201248149823335,440.732778361925,832.69143978277,1156.3154365166517,2.541486413069643,0.26650895869763025
15.0,15.0,5.0,0.0,2.0,1.0,1.0,2.0,188.08500000000004,178.005,23.550000000000004,0.25827668832842476,0.9069281437431106,0.4212853452075869,0.5992160940315835,536.7877694387374,763.5012093015331,1274.1667270059847,2.616077667949738,0.08554779311052409
15.0,15.0,5.0,0.0,2.0,1.0,1.0,2.0,188.08500000000004,178.00499999999997,23.550000000000004,0.3293068718324541,0.9434891055696484,0.3314035420320442,0.6881234967193998,429.8468960681402,892.5304399667177,1297.049794436347,2.6388279908916905,0.08090586779973818
15.0,15.0,6.0,0.0,2.0,2.0,1.0,4.0,188.041,181.993,44.0,0.38732920250375913,0.95836101522059,0.2855593887536534,0.7170272861806718,379.0233109705247,951.7111563047187,1327.301170606934,2.6585150661885106,0.027817708066321212
13.0,13.0,7.0,0.0,2.0,1.0,1.0,2.0,182.059,178.027,40.620000000000005,0.30389155680478147,0.9412902942098231,0.33759825536632243,0.7883874432009035,321.5723364460705,750.9623882971903,952.529615702953,2.3582961326235714,0.104262305851449
13.0,13.0,6.0,0.0,2.0,2.0,1.0,3.0,180.44899999999998,177.42499999999998,26.93,0.5288920168419046,0.9807833538522389,0.1951000071920908,0.8048999928156596,258.6117851264517,1066.9226874265557,1325.534472542734,2.710305669246915,2.383965242732639e-11
13.0,13.0,5.0,0.0,2.0,2.0,1.0,3.0,176.09900000000002,170.051,9.86,0.4971713987004492,0.9771072404918978,0.21274736326993224,0.7900414583151096,262.2182908534022,973.7527070540949,1232.5336813725942,2.6474242016411456,0.03302496478788593
13.0,13.0,5.0,0.0,2.0,2.0,1.0,3.0,176.09900000000002,170.051,9.86,0.35925287735671796,0.9512583531335801,0.3083951127913495,0.6947458169190799,342.79258334108033,772.2356920364948,1111.5370157405935,2.514341564047357,0.036515792470127685
14.0,14.0,6.0,1.0,2.0,2.0,1.0,4.0,176.03,169.98199999999997,36.16,0.5224387240031123,0.9801043090885614,0.19848310584539328,0.8040988715869333,259.67111071253555,1051.984984910098,1308.2781509616448,2.7279528116501797,0.027015084292052387
14.0,14.0,4.0,0.0,2.0,1.0,1.0,2.0,174.102,162.00599999999997,6.48,0.30437303387202086,0.9366218047285653,0.35034211123843695,0.6899483861338782,378.73750285767875,745.8690248263869,1081.0504666962984,2.5168197299937667,0.12792566939232253
14.0,14.0,5.0,0.0,2.0,1.0,1.0,2.0,174.05800000000002,165.99399999999997,23.550000000000004,0.2798786819450823,0.9225608556044144,0.3858516135853923,0.6362429255272644,417.4469176143994,688.3414213234729,1081.8845973855564,2.5068549439057604,0.08387532280792229
14.0,14.0,6.0,0.0,2.0,2.0,1.0,4.0,174.014,169.982,44.0,0.3279725265165267,0.9408644498941344,0.3387832447530545,0.6612167552484958,351.75225354686825,686.5288863714073,1038.281139916666,2.442673312686275,3.9298205836397935e-12
12.0,12.0,5.0,0.0,2.0,2.0,1.0,3.0,162.072,158.04,9.86,0.43535583290041785,0.9678745618500098,0.2514335548880692,0.7485664451453063,241.4550323409297,718.8584487156344,960.3134810245131,2.4341790319544008,6.882139232268289e-11
13.0,13.0,5.0,0.0,2.0,1.0,1.0,2.0,160.031,153.98299999999998,23.550000000000004,0.31038949145252864,0.9353526220901782,0.35371665545889724,0.6568046133566517,325.6474043806482,604.6837609253688,920.6448137370485,2.4048242022011506,0.0464424008004296
13.0,13.0,5.0,0.0,2.0,2.0,1.0,3.0,160.031,153.98299999999998,26.93,0.41657853033732933,0.9645573866178261,0.26387316635268104,0.7394852649286793,260.2838149469631,729.4263699229178,986.3974368620698,2.4847816963009404,0.032629336368004795
12.0,12.0,4.0,0.0,2.0,1.0,1.0,2.0,146.04799999999997,137.98399999999998,6.48,0.2510128337214489,0.9053507172601722,0.42466466624442833,0.6077074780953605,314.5052433490789,450.06614271371353,740.5966833323874,2.2700200517005635,0.09921753722118501
12.0,12.0,5.0,0.0,2.0,2.0,1.0,3.0,146.004,141.97199999999998,26.93,0.3499890180909786,0.9482797518701752,0.3174358394905009,0.6825641605645308,238.56591862539702,512.9746730779059,751.5405916619443,2.2687876221923426,6.70370370654819e-11
16.0,16.0,8.0,0.0,2.0,2.0,1.0,4.0,209.99399999999997,207.97799999999998,44.0,0.42581860356588613,0.9661681922149065,0.2579128231635244,0.7420871768368715,426.6331160605612,1227.542550072301,1654.1756661322074,2.8066442677916394,8.342026418769826e-13
