Molecule,Cluster,x,y
0,7,-0.6036922614453484,-0.5447415052210424
1,4,-0.0785377302331724,-0.2853653711080347
2,7,-0.8597519710584571,-0.781573860292818
3,7,-0.773381610926671,-0.7232147897285648
4,11,-1.0333822148099872,-0.7041944500618167
5,5,-0.0417658924544053,1.0726294695677239
6,7,-0.7204642339407358,-0.4795251182678926
7,3,-0.1614338095983088,0.4807443538381871
8,7,-0.4760780284989061,-0.3006249401703776
9,8,-0.3175209527504151,-0.0424284337046209
10,7,-0.1937789266807978,-0.8653068185802053
11,11,-0.5852932664239411,-0.971447141476266
12,6,-0.0999568586394062,-0.2934950603651212
13,11,-0.2676126559944672,-0.5367543948750024
14,7,-0.3190062471694989,-0.8114278648367907
15,8,-0.2005702059202308,-0.4291369904305536
16,4,-0.0691710661295062,-0.642416451971485
17,7,-0.4540315459042382,-0.6764920761454587
18,1,0.2335716093217614,0.2797334182973885
19,1,0.1868717963001022,0.222468122849051
20,1,0.2425554899784263,0.2865619331225782
21,6,0.111088546613962,-0.0041955186614914
22,4,-0.0955874704411422,-0.3956976621335618
23,6,0.4023444911655828,-0.2180346531083837
24,4,0.1156698911734462,-0.8283534880950012
25,4,0.3025410948357779,-0.7530909388397148
26,4,0.5053017855508501,-0.4473141064852539
27,4,0.0079351678015537,-0.7477625653671066
28,1,0.5479378674212041,-0.0385692858078392
29,1,0.5262767705202152,0.0375687972621114
30,4,0.3661257021007131,-0.3795634148175115
31,4,0.740072766884852,-0.7669374396120434
32,9,0.8097179580226203,-0.2072412626652981
33,4,0.6095612328802211,-0.6672542042210324
34,9,1.3025285765798293,-0.0892596069481785
35,9,1.0510340128002862,-0.6500257533809876
36,7,-0.6915915148504407,-0.3565174244127715
37,0,-0.288402436177416,-0.1058442869317979
38,6,-0.1585505368963053,-0.4136615705153959
39,1,0.1664206323764191,0.2580646143059608
40,7,-0.3387059381322317,-0.6321915204598996
41,4,0.247271194260001,-0.561665328294674
42,1,0.4874441035852549,-0.0290839143336554
43,1,0.487129479427249,-0.0615053594885402
44,9,0.831035345478202,-0.187133781882695
45,9,0.9827490065078174,0.0538870339122755
46,9,0.8174790136167143,-0.3314398694137717
47,7,-0.9506016295150225,-0.7095187237283465
48,3,-0.2495072275677228,0.2595519128052334
49,7,-0.2770362874380965,-0.6916368343858026
50,8,-0.0262108099739348,-0.1856460081052757
51,1,0.2387243845281442,0.2781501862265315
52,3,0.103141501427717,0.1195490864038959
53,6,0.2566665532442558,-0.2463586998263554
54,1,0.5001022249282414,0.1452061452542973
55,1,0.6238721716199265,0.1922951964425421
56,8,-0.2353853174984315,-0.049223455545167
57,7,-0.7271379105535012,-0.4244225178727122
58,3,-0.0589549270745363,0.5137695170383291
59,8,-0.3677212980474105,-0.1863928845605482
60,4,0.1231802289051019,-0.3806909535758888
61,6,0.2086540431212121,-0.3379907718205855
62,4,0.7120315726607114,-0.3830068917398438
63,9,1.0277800924841207,0.1409160986755628
64,0,-0.3073295707405556,0.0579399010086035
65,3,-0.1140842666565392,0.5862696557068302
66,11,-0.5864686623295549,-0.3102850302336796
67,2,-0.0038768795052977,0.3424948602832678
68,2,-0.5066622546126273,-0.0542634622592995
69,7,-0.7044354873864486,-0.205949623630629
70,7,-0.7402258388027223,-0.2922800288425117
71,7,-0.8781318324226348,-0.4579940568958878
72,3,0.024954298578523,0.6472931286830649
73,3,-0.1595526321214647,0.4984674215410622
74,2,-0.3204400616231583,0.0541238237439849
75,7,-0.679775461945213,-0.3035289424920464
76,3,-0.1030474944021704,0.1035605599101632
77,7,-0.2612030478735186,-0.6121091168711733
78,6,-0.0847035994761633,0.0625546921537863
79,6,-0.0083061237008474,0.0552645864708183
80,6,0.2324197010887773,-0.0232831907573699
81,6,-0.2473161919775728,-0.2905497112836866
82,6,-0.2641724761673969,-0.3436663632131157
83,8,-0.0932942734169585,-0.157036713316199
84,1,0.3139047270761973,0.3303535811133954
85,8,0.0978563748740229,-0.1141114033981537
86,4,0.3867568664875181,-0.6660061361195545
87,6,0.3271140545149909,-0.3754130626968862
88,4,0.5130970964392307,-0.242492015241381
89,6,0.2787007333862094,-0.2801835952246581
90,1,0.3998551197885142,-0.0570739819999264
91,4,0.0170926063130679,-0.6645451545217254
92,10,0.5882048384072672,0.7376711919809968
93,6,0.2259580686870026,-0.3148608302679717
94,1,0.4734995255867542,-0.1168813642273731
95,1,0.658901387036577,0.1873273041011368
96,1,0.5408799925877468,0.0537090572516556
97,4,0.3655878707859505,-0.4108526253079082
98,4,0.0064905197018977,-0.7815749650265253
99,4,0.4347187209801885,-0.116074171536486
100,9,1.1681366321967421,-0.3462348200442411
101,4,0.4971495903102022,-0.7116800719744767
102,9,0.8691707770720087,-0.1488257740485093
103,10,1.1674644476379514,0.4503827782880118
104,9,1.5816470063281498,-0.2886700974246398
105,9,1.603130917447051,-0.4916865250743727
106,2,-0.2064697503335581,0.5579988819938592
107,3,0.0391089657923158,0.5863098281652301
108,4,0.2201880768179761,-0.2931913802585624
109,11,-0.3658982271640341,-0.7017846307328214
110,1,0.5211620973051807,0.0844120418731997
111,9,0.7058940856725162,-0.5581516005630642
112,4,0.4668809707202485,-0.7433360279115339
113,9,1.0172495049686114,-0.4432814076840234
114,8,-0.3582811242698311,0.3537351408171574
115,5,0.066758142789389,1.3567493749896042
116,7,-0.2328346021092106,-0.4309956597517114
117,1,0.34902307486655,0.4551845225396801
118,6,0.0864540231421059,0.0669215782110204
119,1,0.2348902108134907,0.2074541934700289
120,4,0.1794392770901295,-0.8043262364771616
121,4,0.4131265347197781,-0.4672175994112904
122,1,0.5851689441208172,0.1377584231144721
123,5,-0.4694690296194124,0.4472632745548372
124,11,-0.949219327437193,-0.5947454291484633
125,8,-0.2245711976664495,0.2528530732835298
126,5,-0.1237678608982084,1.1734297087907912
127,0,-0.5899841959021331,-0.1661578733790298
128,8,-0.426921785290005,-0.0877872403820549
129,0,-0.3552934001746928,0.0355386599872977
130,2,-0.2305578559304565,0.2343855689851522
131,11,-0.1834787212825648,-0.3124383570512095
132,6,-0.0763848017061944,-0.2884162565082654
133,6,-0.0643645163686678,-0.2804615208809854
134,1,0.5388625944268405,0.1540751252743578
135,4,0.0255791412130562,-0.32540492188526
136,6,-0.0183776167217168,-0.0745366085002749
137,8,0.010198701903703,-0.1294884869680564
138,1,0.10072005890649,0.216625243263188
