0_Molecule,0_x,0_y,1_Molecule,1_x,1_y,2_Molecule,2_x,2_y,3_Molecule,3_x,3_y,4_Molecule,4_x,4_y,5_Molecule,5_x,5_y,6_Molecule,6_x,6_y,7_Molecule,7_x,7_y,8_Molecule,8_x,8_y,9_Molecule,9_x,9_y,10_Molecule,10_x,10_y,11_Molecule,11_x,11_y
37.0,-0.288402436177416,-0.1058442869317979,18.0,0.2335716093217614,0.2797334182973885,67.0,-0.0038768795052977,0.3424948602832678,7.0,-0.1614338095983088,0.4807443538381871,1.0,-0.0785377302331724,-0.2853653711080347,5.0,-0.0417658924544053,1.0726294695677239,12,-0.0999568586394062,-0.2934950603651212,0.0,-0.6036922614453484,-0.5447415052210424,9.0,-0.3175209527504151,-0.0424284337046209,32.0,0.8097179580226203,-0.2072412626652981,92.0,0.5882048384072672,0.7376711919809968,4.0,-1.0333822148099872,-0.7041944500618167
64.0,-0.3073295707405556,0.0579399010086035,19.0,0.1868717963001022,0.222468122849051,68.0,-0.5066622546126273,-0.0542634622592995,48.0,-0.2495072275677228,0.2595519128052334,16.0,-0.0691710661295062,-0.642416451971485,115.0,0.066758142789389,1.3567493749896042,21,0.111088546613962,-0.0041955186614914,2.0,-0.8597519710584571,-0.781573860292818,15.0,-0.2005702059202308,-0.4291369904305536,34.0,1.3025285765798293,-0.0892596069481785,103.0,1.1674644476379514,0.4503827782880118,11.0,-0.5852932664239411,-0.971447141476266
127.0,-0.5899841959021331,-0.1661578733790298,20.0,0.2425554899784263,0.2865619331225782,74.0,-0.3204400616231583,0.0541238237439849,52.0,0.103141501427717,0.1195490864038959,22.0,-0.0955874704411422,-0.3956976621335618,123.0,-0.4694690296194124,0.4472632745548372,23,0.4023444911655828,-0.2180346531083837,3.0,-0.773381610926671,-0.7232147897285648,50.0,-0.0262108099739348,-0.1856460081052757,35.0,1.0510340128002862,-0.6500257533809876,145.0,0.5444335994936724,0.522323970468622,13.0,-0.2676126559944672,-0.5367543948750024
129.0,-0.3552934001746928,0.0355386599872977,28.0,0.5479378674212041,-0.0385692858078392,106.0,-0.2064697503335581,0.5579988819938592,58.0,-0.0589549270745363,0.5137695170383291,24.0,0.1156698911734462,-0.8283534880950012,126.0,-0.1237678608982084,1.1734297087907912,38,-0.1585505368963053,-0.4136615705153959,6.0,-0.7204642339407358,-0.4795251182678926,56.0,-0.2353853174984315,-0.049223455545167,44.0,0.831035345478202,-0.187133781882695,146.0,0.5016063984819046,0.6963348628275268,66.0,-0.5864686623295549,-0.3102850302336796
164.0,-0.7021560706774342,-0.2731342147327134,29.0,0.5262767705202152,0.0375687972621114,130.0,-0.2305578559304565,0.2343855689851522,65.0,-0.1140842666565392,0.5862696557068302,25.0,0.3025410948357779,-0.7530909388397148,214.0,-0.2630438894342633,0.9220658238308473,53,0.2566665532442558,-0.2463586998263554,8.0,-0.4760780284989061,-0.3006249401703776,59.0,-0.3677212980474105,-0.1863928845605482,45.0,0.9827490065078174,0.0538870339122755,152.0,0.8439611731167347,0.2790843005119049,109.0,-0.3658982271640341,-0.7017846307328214
166.0,-0.5485141018206523,-0.1395565675395385,39.0,0.1664206323764191,0.2580646143059608,140.0,-0.2011994739517396,0.224250878780499,72.0,0.024954298578523,0.6472931286830649,26.0,0.5053017855508501,-0.4473141064852539,222.0,0.1505776803495672,0.8670692475485393,61,0.2086540431212121,-0.3379907718205855,10.0,-0.1937789266807978,-0.8653068185802053,83.0,-0.0932942734169585,-0.157036713316199,46.0,0.8174790136167143,-0.3314398694137717,158.0,1.3876189412004378,0.5255226777327866,124.0,-0.949219327437193,-0.5947454291484633
167.0,-0.44300892605099085,-0.00022555447979615006,42.0,0.4874441035852549,-0.0290839143336554,186.0,-0.3046341538771918,0.2448481396795658,73.0,-0.1595526321214647,0.4984674215410622,27.0,0.0079351678015537,-0.7477625653671066,223.0,0.0228363481411271,0.5555584984094465,78,-0.0847035994761633,0.0625546921537863,14.0,-0.3190062471694989,-0.8114278648367907,85.0,0.0978563748740229,-0.1141114033981537,63.0,1.0277800924841207,0.1409160986755628,171.0,0.8176353378389427,0.9248903447650589,131.0,-0.1834787212825648,-0.3124383570512095
169.0,-0.2331687844623978,-0.2282283697871984,43.0,0.487129479427249,-0.0615053594885402,236.0,-0.0751645814474715,0.3216569674086964,76.0,-0.1030474944021704,0.1035605599101632,30.0,0.3661257021007131,-0.3795634148175115,249.0,-0.2179753505661355,0.8305105459972816,79,-0.0083061237008474,0.0552645864708183,17.0,-0.4540315459042382,-0.6764920761454587,114.0,-0.3582811242698311,0.3537351408171574,100.0,1.1681366321967421,-0.3462348200442411,173.0,0.9557842208033371,0.713939079036596,141.0,0.1318997704376456,-0.485415673316743
199.0,-0.4127445646371649,0.1230534736772833,51.0,0.2387243845281442,0.2781501862265315,237.0,-0.603451777120207,-0.0379735865112744,107.0,0.0391089657923158,0.5863098281652301,31.0,0.740072766884852,-0.7669374396120434,252.0,0.091601452346642,0.7653066431195751,80,0.2324197010887773,-0.0232831907573699,36.0,-0.6915915148504407,-0.3565174244127715,125.0,-0.2245711976664495,0.2528530732835298,102.0,0.8691707770720087,-0.1488257740485093,194.0,0.9755543631235588,0.9159395497134855,368.0,-0.3077712064418342,-0.6435646512121957
208.0,-0.441813959669679,0.1934962339486145,54.0,0.5001022249282414,0.1452061452542973,254.0,0.0005679019899258,0.3464747590662001,218.0,-0.3484381521284797,0.2369745899130458,33.0,0.6095612328802211,-0.6672542042210324,253.0,0.0287300262237211,0.6947069962820308,81,-0.2473161919775728,-0.2905497112836866,40.0,-0.3387059381322317,-0.6321915204598996,128.0,-0.426921785290005,-0.0877872403820549,104.0,1.5816470063281498,-0.2886700974246398,228.0,0.4704390879595955,0.6779301051802953,373.0,0.0375185541235645,-0.5483706870559895
