molecule,SMILES,precursor_scscore,scscore,anode_limit,element_friendliness,capacity(mAh/g),total_score
35,[Li]n1c(=O)n([Li])c2ccccc21,0.7552387504180595,0.9074146234206543,0.8344185498488854,0.30172413793103453,0.7422549482592852,3.5410510098779193
196,[Li]N1c2ccccc2N([Li])C1F,0.62867933578902,0.6987673964984151,1.0,0.5253549695740365,0.6772525720361187,3.53005427389759
160,[Li]N1B(C)N([Li])c2ccccc21,0.7924080406562811,0.8690264062316919,0.5713794477929152,0.2159709618874773,0.7788486903147256,3.227633546883091
104,[Li]N1CN([Li])c2ccccc21,0.9251805415172835,0.8448142727802013,0.17571023047753112,0.2697768762677485,1.0,3.2154819210427643
111,[Li]N1c2ccccc2N([Li])C1S,0.7342601344024265,0.7624155414801829,0.8491517010681982,0.2413793103448276,0.47405995043794547,3.0612666377335804
382,[Li]N1PN([Li])c2ccccc21,0.891992243625108,0.8560147092289486,0.2745174393682892,0.30172413793103453,0.6778053120722832,3.002053842225664
159,[Li]N1C=CN([Li])c2ccccc21,1.0,0.8574416390394382,0.0,0.2413793103448276,0.7755731010951697,2.8743940504794354
258,[Li]n1c2cc(C)c(F)cc2n1[Li],0.740748079119466,0.6707268587958223,0.25542099910662575,0.5253549695740365,0.6772525720361187,2.8695034786320694
380,[Li]N1B(C=C)N([Li])c2ccccc21,0.749863764056708,0.7570397582600679,0.5788287516644207,0.19310344827586212,0.5884859954347718,2.8673217176918304
313,[Li]n1c2ccc(F)c(F)c2n1[Li],0.49401083253404965,0.4216903679574085,0.3033703827812556,1.0,0.6162916783995598,2.8353632616722733
227,[Li]N1SN([Li])c2cc(F)ccc21,0.9177715243913571,0.7793989612051619,0.02884709393983445,0.6275862068965519,0.42299723568229464,2.7766010221151998
155,[Li]N1c2ccccc2N([Li])C1C=O,0.8012324259149225,0.8482845555718032,0.3583165718077558,0.2159709618874773,0.5289535636418893,2.752758078823848
34,[Li]N1CCN([Li])c2ccccc21,0.7414227692698058,0.8324496193130787,0.2317953954621689,0.19310344827586212,0.7415218029519506,2.740293035272866
32,[Li]N1CC(=O)N([Li])c2ccccc21,0.7749485395243261,0.5754355185830681,0.5474174994508499,0.2159709618874773,0.5289535636418893,2.6427260830876103
157,[Li]N1SN([Li])c2ccccc21,0.7863902730184755,0.7749303837437084,0.021490545997590173,0.33793103448275863,0.676463390687354,2.597205627929887
46,[Li]n1c(=O)n([Li])c2c(C)cccc21,0.623814604163795,0.33520680153273685,0.8203480603566657,0.2159709618874773,0.5289535636418893,2.524293991582564
145,[Li]N(C)c1ccccc1N([Li])C(C)=O,0.8032351219098848,0.6409217722677811,0.632193911701342,0.1206896551724138,0.3266591058378222,2.5236995668892437
