canonicalsmiles
O=c1[nH]c2ccc(Cl)cc2[nH]c1=O
S=c1[nH]c2ccccc2[nH]c1=S
CCOc1ccc2[nH]c(=S)[nH]c2c1
O=C(O)c1ccc2[nH]c(=S)[nH]c2c1
c1ccc(B2Nc3ccccc3N2)cc1
CC(=O)Nc1ccccc1NC(C)=O
COc1ccc2[nH]c(=O)c(=O)[nH]c2c1
CNc1cccc2c1NC(=O)C2(C)C
Cc1cc2[nH]c(=O)c(=O)[nH]c2cc1C
Cc1cc(C)c2[nH]c(=O)c(=O)[nH]c2c1
S=c1[nH]c2ccc(Cl)cc2[nH]1
O=c1[nH]c2cc3ccccc3cc2[nH]1
O=C1CNc2ccc(Cl)cc2N1
c1ccc2c(c1)Nc1ccccc1N2
COc1ccc2[nH]c(=S)[nH]c2c1
O=c1[nH]c2ccc(F)cc2[nH]c1=O
Cc1cc2[nH]c(=S)[nH]c2cc1C
O=C(O)c1ccc2[nH]c(=O)[nH]c2c1
CC1CC(=O)Nc2ccccc2N1
CC1(C)Nc2ccccc2NC1=O
C[C@@H]1CC(=O)Nc2ccccc2N1
CC1CNc2ccccc2NC1=O
Cc1ccc2[nH]c(=O)c(=O)[nH]c2c1
O=S1(=O)Nc2ccccc2N1
O=c1[nH]c2ccc(Cl)cc2[nH]1
Cc1ccc2[nH]c(=S)[nH]c2c1
Cc1cccc2[nH]c(=S)[nH]c12
COc1ccc2[nH]c(=O)[nH]c2c1
CC1Nc2ccccc2NC1C
O=C1CCNc2ccccc2N1
O=c1[nH]c2ccccc2[nH]c1=O
S=c1[nH]c2ccccc2[nH]1
O=C1CNc2ccccc2N1
Cc1ccc2[nH]c(=O)[nH]c2c1
c1ccc2c(c1)NCCN2
O=c1[nH]c2ccccc2[nH]1
O=c1[nH]c2cc(F)c(F)cc2[nH]c1=O
c1ccc2c(c1)NC1(CCCCC1)N2
O=C1CNc2cc(Cl)ccc2N1
O=C1CC(=O)Nc2ccccc2N1
