canonicalsmiles
C1=CC2=C(C=C1CN)NC(=O)N2.Cl
C1=C(C2=NON=C2C(=C1)Cl)[N+](=O)[O-]
C1=CC2=NON=C2C(=C1Cl)[N+](=O)[O-]
C1=CC=C(C=C1)NC2=C(C=C(C=C2)N)N
C1C2CNCC1C3=CC4=C(C=C23)NC=N4
CN1C2=C(C3=NC=CN=C3C=C2)N=C1N
CC1=CC(=O)N2C3=CC=CC=C3N=C2N1
CC1=CN2C3=CC=CC=C3NC(=O)C2=N1
C1=CC=C2C(=C1)N=C(C(=N2)Cl)Cl
C1=CC2=NC(=CN=C2C=C1Cl)Cl
C1=CC2=NC=C(N=C2C=C1Cl)Cl
CSC1=NC2=C(N1)C=C(C=C2)Cl
CN1C2=C(C=C(C=C2)Cl)NC1=S
C1CCC2=C(C1)C=C3C=CC=C(C3=N2)N
CC1=CC=C(C=C1)NC2=CC=CC=C2N
C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O
CN1C2=C(C3=C(C=C2)N=CC=C3)N=C1N
CN1C2=C(C3=C(C=CC=N3)C=C2)N=C1N
CN1C=C(C=N1)C2=NC3=CC=CC=C3N2
C1=CC=C2C(=C1)NC(=N2)S(=O)(=O)O
C1=CC(=C(C=C1OCCO)[N+](=O)[O-])N
COC1=C(C=C(C(=C1)N)[N+](=O)[O-])OC
C1=CC(=C(C=C1O)[N+](=O)[O-])NCCO
CC(=O)NC1=C(C=C(C=C1)F)[N+](=O)[O-]
C1=C(C(=CC(=C1N)[N+](=O)[O-])[N+](=O)[O-])N
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])NN
C1=CC=C2C(=C1)N=CC(=N2)C(F)(F)F
COC1=CC=CC(=C1[N+](=O)[O-])[N+](=O)[O-]
C1=CC2=NNN=C2C=C1Br
C1=CC2=NNN=C2C(=C1)Br
C1=CC2=C(C=C1[N+](=O)[O-])NC(=N2)Cl
C1=CC=C2C=C3C(=CC2=C1)NC(=N3)CN
CN1C=CC=C1C2=NC3=CC=CC=C3N2
C1=CC=C2C(=C1)NC(=N2)S(=O)(=O)N
CS(=O)(=O)N1C2=CC=CC=C2N=N1
C1=CC(=C(C=C1N)[N+](=O)[O-])NCCO
C1=CC(=C(C=C1[N+](=O)[O-])N)NCCO
C1=CC(=C(C=C1NCCO)[N+](=O)[O-])N
CC1=CC(=C(C(=C1)[N+](=O)[O-])N)[N+](=O)[O-]
CNC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
CC1=CC2=N[Se]N=C2C=C1
C1=CC2=C(C=C1Br)NC=N2
C1=CC2=C(C=C1Cl)NC(=O)C(=O)N2
C1=CC2=C(C=C1Cl)[N+](=NC(=N2)N)[O-]
C1=CC2=C(C=C1Cl)NC(=N2)C(=O)O
